name,x,y
agathazell,10.2729186,47.5544705
albertville,6.3288829,45.6263899
amberieu,5.3283352,45.9880534
ambri,8.6894382,46.5130566
annecy,6.0988914,45.9291711
annemasse,6.2683326,46.1919419
aosta,7.3674953,45.7386081
aspres,5.7361151,44.5177808
aubenasson,5.1502810,44.6951928
bad-ragaz,9.4819065,47.0150040
barcelonnette,6.6091704,44.3872241
bellegarde,5.8048631,46.1233320
belley,5.6916726,45.6938859
bex,6.9863947,46.2582996
biella-cerrione,8.1030025,45.4959963
bolzano,11.3260063,46.4599964
bourg-ceyzeriat,5.2918369,46.2019478
bovec,13.5486039,46.3286040
buochs,8.3969475,46.9744425
calcinate-del-pesce,8.7680001,45.8100029
carpentras,5.0838840,44.0280565
cereste-prv-36,5.5500047,43.8530553
challes-les-eaux,5.9755551,45.5608365
chambery,5.8800139,45.6391686
champagnole,5.8197200,46.7633325
courtelary,7.0907969,47.1835998
dobbiaco,12.2316966,46.7270040
enemonzo,12.8869484,46.4044428
envie,7.4019990,44.6960017
fayence,6.6972169,43.6088902
gap,6.0366639,44.4538854
gruyeres,7.0943994,46.5942016
habere-poche,6.4634468,46.2713883
hohenems-dornbirn,9.6997206,47.3844684
innsbruck,11.3439951,47.2601998
kagiswil,8.2542027,46.9083009
kufstein-langkampfen,12.1269421,47.5644488
la-côte,6.2581067,46.4063984
la-motte-du-caire,6.030833333333334,44.32528333333333
le-versoud,5.8485135,45.2181982
les-eplatures,6.7936148,47.0841703
lienz-nikolsdorf,12.8783322,46.7980820
locarno,8.8785947,46.1608017
lodrino,8.9927792,46.2944434
lugano,8.9102809,46.0036156
masera,8.3058378,46.1333300
mauterndorf,13.6961050,47.1319461
meiringen,8.1088864,46.7422210
mollis,9.0648025,47.0788991
montricher,6.4006038,46.5903043
motiers,6.6150067,46.9167002
muenster,8.2632977,46.4803000
neuchatel,6.8646938,46.9575016
nice,7.2156199,43.6602763
nötsch-im-gailtal,13.6283395,46.5808345
pontarlier,6.3268852,46.9041647
puimoisson,6.1627828,43.8688876
raron,7.8216602,46.3044443
reichenbach,7.6778065,46.6136007
reutte-höfen,10.6913901,47.4708314
rivoli,13.0727937,46.2342981
romans,5.1013896,45.0647335
saanen,7.2486107,46.4863897
samedan,9.8841677,46.5344424
schänis,9.0393976,47.1717018
serres,5.7272257,44.4572300
seyne-les-alpes,6.3724978,44.3422192
sion,7.3269479,46.2191674
sisteron,5.9291640,44.2866692
sollieres,6.8011260,45.2538934
sondrio,9.7980062,46.1540040
st-auban,5.9908424,44.0586176
st-crepin,6.5991635,44.7005637
st-gallen-altenrhein,9.5619480,47.4849956
st-jean-en-royans,5.3091650,45.0263923
st-remy-de-maurienne,6.2777775,45.3750079
st-stephan,7.411867,46.497699
st.-johann-tirol,12.4494449,47.5202733
ste-croix-sur-verdon,6.1594619,43.7786163
sterzing,11.4436071,46.8836093
thun,7.6006022,46.7563956
torino,7.6030036,45.0839989
trento,11.1250018,46.0229989
valence,4.9698169,44.9211171
vinon,5.7830631,43.7363900
yverdon,6.6132975,46.7619028
zell-am-see,12.7908279,47.2915581
zweisimmen,7.3811132,46.5516681
